city,state,region,tourism_zone,latitude,longitude,tourist_arrivals_annual_m,peak_months,popularity_tier
Ranakpur,Rajasthan,North India,Heritage,27.8449,73.0082,1.08,Oct|Nov|Dec|Jan|Feb,mid
Nagaur,Rajasthan,North India,Heritage,28.7823,74.724,0.36,Oct|Nov|Dec|Jan|Feb,small
Bayana,Rajasthan,North India,Heritage,27.6846,75.4543,0.12,Oct|Nov|Dec|Jan|Feb,obscure
Roopangarh,Rajasthan,North India,Heritage,26.0446,72.5356,0.11,Oct|Nov|Dec|Jan|Feb,obscure
Lakshmangarh,Rajasthan,North India,Heritage,26.1839,73.1795,0.13,Oct|Nov|Dec|Jan|Feb,obscure
Fatehpur Sikri,Uttar Pradesh,North India,Heritage,28.2049,80.2828,3.66,Oct|Nov|Dec|Jan|Feb,major
Sarnath,Uttar Pradesh,North India,Heritage,26.4743,82.4424,1.11,Oct|Nov|Dec|Jan|Feb,mid
Mahoba,Uttar Pradesh,North India,Heritage,26.0036,80.0379,0.36,Oct|Nov|Dec|Jan|Feb,small
Kalinjar,Uttar Pradesh,North India,Heritage,25.9959,81.2545,0.39,Oct|Nov|Dec|Jan|Feb,small
Bithoor,Uttar Pradesh,North India,Heritage,26.4878,79.9396,0.4,Oct|Nov|Dec|Jan|Feb,small
Jhansi,Uttar Pradesh,North India,Heritage,26.8843,79.4773,0.97,Oct|Nov|Dec|Jan|Feb,mid
Lalitpur,Uttar Pradesh,North India,Heritage,25.4447,81.4088,0.38,Oct|Nov|Dec|Jan|Feb,small
Hastinapur,Uttar Pradesh,North India,Heritage,26.5698,79.3787,0.34,Oct|Nov|Dec|Jan|Feb,small
Kannauj,Uttar Pradesh,North India,Heritage,28.636,81.0548,0.4,Oct|Nov|Dec|Jan|Feb,small
Mainpuri,Uttar Pradesh,North India,Heritage,28.1488,79.1913,0.12,Oct|Nov|Dec|Jan|Feb,obscure
Etah,Uttar Pradesh,North India,Heritage,27.5042,81.0831,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Bahraich,Uttar Pradesh,North India,Heritage,27.3575,79.5516,0.34,Oct|Nov|Dec|Jan|Feb,small
Sankisa,Uttar Pradesh,North India,Heritage,26.6834,82.5837,0.12,Oct|Nov|Dec|Jan|Feb,obscure
Etawah,Uttar Pradesh,North India,Heritage,25.9982,80.9521,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Pratapgarh,Uttar Pradesh,North India,Heritage,28.3355,82.2839,0.11,Oct|Nov|Dec|Jan|Feb,obscure
Orchha,Madhya Pradesh,North India,Heritage,23.4702,79.0523,1.0,Oct|Nov|Dec|Jan|Feb,mid
Mandu,Madhya Pradesh,North India,Heritage,23.915,78.8018,1.21,Oct|Nov|Dec|Jan|Feb,mid
Sanchi,Madhya Pradesh,North India,Heritage,23.0793,76.8621,1.06,Oct|Nov|Dec|Jan|Feb,mid
Gwalior,Madhya Pradesh,North India,Heritage,21.2401,80.2048,3.9,Oct|Nov|Dec|Jan|Feb,major
Maheshwar,Madhya Pradesh,North India,Heritage,24.164,77.9671,0.3,Oct|Nov|Dec|Jan|Feb,small
Bhojpur,Madhya Pradesh,North India,Heritage,24.3308,80.269,0.31,Oct|Nov|Dec|Jan|Feb,small
Vidisha,Madhya Pradesh,North India,Heritage,22.9196,77.1092,0.38,Oct|Nov|Dec|Jan|Feb,small
Burhanpur,Madhya Pradesh,North India,Heritage,23.927,77.3222,0.35,Oct|Nov|Dec|Jan|Feb,small
Chanderi,Madhya Pradesh,North India,Heritage,23.1493,77.8142,0.39,Oct|Nov|Dec|Jan|Feb,small
Datia,Madhya Pradesh,North India,Heritage,22.6933,77.6225,0.35,Oct|Nov|Dec|Jan|Feb,small
Shivpuri,Madhya Pradesh,North India,Heritage,23.7978,77.5841,0.33,Oct|Nov|Dec|Jan|Feb,small
Mandsaur,Madhya Pradesh,North India,Heritage,24.7525,79.1996,0.11,Oct|Nov|Dec|Jan|Feb,obscure
Bagh,Madhya Pradesh,North India,Heritage,23.0333,77.2956,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Asirgarh,Madhya Pradesh,North India,Heritage,22.3871,78.9779,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Champaner,Gujarat,West India,Heritage,21.2528,69.6456,0.36,Oct|Nov|Dec|Jan|Feb,small
Patan,Gujarat,West India,Heritage,21.2842,72.6495,0.39,Oct|Nov|Dec|Jan|Feb,small
Modhera,Gujarat,West India,Heritage,20.7151,70.2468,0.37,Oct|Nov|Dec|Jan|Feb,small
Junagadh,Gujarat,West India,Heritage,21.2313,69.8663,1.27,Oct|Nov|Dec|Jan|Feb,mid
Vadnagar,Gujarat,West India,Heritage,22.5158,71.0916,0.38,Oct|Nov|Dec|Jan|Feb,small
Lothal,Gujarat,West India,Heritage,23.367,70.0755,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Dholavira,Gujarat,West India,Heritage,22.0118,70.9149,0.35,Oct|Nov|Dec|Jan|Feb,small
Vijaynagar,Gujarat,West India,Heritage,23.0847,71.8141,0.13,Oct|Nov|Dec|Jan|Feb,obscure
Idar,Gujarat,West India,Heritage,20.8143,70.8394,0.11,Oct|Nov|Dec|Jan|Feb,obscure
Sidhpur,Gujarat,West India,Heritage,23.562,70.2852,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Halvad,Gujarat,West India,Heritage,22.075,70.9088,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Halol,Gujarat,West India,Heritage,21.3593,72.7138,0.11,Oct|Nov|Dec|Jan|Feb,obscure
Mysuru,Karnataka,South India,Heritage,16.6209,75.8912,3.03,Oct|Nov|Dec|Jan|Feb,major
Hampi,Karnataka,South India,Heritage,17.1174,76.9197,3.99,Oct|Nov|Dec|Jan|Feb,major
Badami,Karnataka,South India,Heritage,16.8549,76.9653,1.01,Oct|Nov|Dec|Jan|Feb,mid
Aihole,Karnataka,South India,Heritage,15.2683,74.6795,0.34,Oct|Nov|Dec|Jan|Feb,small
Pattadakal,Karnataka,South India,Heritage,13.7311,75.2743,0.4,Oct|Nov|Dec|Jan|Feb,small
Bidar,Karnataka,South India,Heritage,14.4747,76.7327,1.1,Oct|Nov|Dec|Jan|Feb,mid
Vijayapura,Karnataka,South India,Heritage,15.0428,77.3563,1.29,Oct|Nov|Dec|Jan|Feb,mid
Halebidu,Karnataka,South India,Heritage,15.5208,76.4963,0.31,Oct|Nov|Dec|Jan|Feb,small
Belur,Karnataka,South India,Heritage,14.5881,77.3974,0.36,Oct|Nov|Dec|Jan|Feb,small
Sravanabelagola,Karnataka,South India,Heritage,15.4719,76.6027,0.3,Oct|Nov|Dec|Jan|Feb,small
Lakkundi,Karnataka,South India,Heritage,15.623,75.7203,0.12,Oct|Nov|Dec|Jan|Feb,obscure
Anegundi,Karnataka,South India,Heritage,14.0868,77.3688,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Mahabalipuram,Tamil Nadu,South India,Heritage,9.999,79.0021,3.68,Oct|Nov|Dec|Jan|Feb,major
Kanchipuram,Tamil Nadu,South India,Heritage,10.1767,77.2916,1.25,Oct|Nov|Dec|Jan|Feb,mid
Thanjavur,Tamil Nadu,South India,Heritage,10.2164,79.0003,1.16,Oct|Nov|Dec|Jan|Feb,mid
Gangaikonda Cholapuram,Tamil Nadu,South India,Heritage,10.8392,78.9612,0.35,Oct|Nov|Dec|Jan|Feb,small
Kumbakonam,Tamil Nadu,South India,Heritage,12.6949,77.5953,0.37,Oct|Nov|Dec|Jan|Feb,small
Darasuram,Tamil Nadu,South India,Heritage,10.1893,78.2848,0.12,Oct|Nov|Dec|Jan|Feb,obscure
Chettinad,Tamil Nadu,South India,Heritage,10.41,77.9982,1.2,Oct|Nov|Dec|Jan|Feb,mid
Karaikudi,Tamil Nadu,South India,Heritage,9.5912,78.5098,0.4,Oct|Nov|Dec|Jan|Feb,small
Padmanabhapuram,Tamil Nadu,South India,Heritage,12.9159,77.1237,0.32,Oct|Nov|Dec|Jan|Feb,small
Thirumayam,Tamil Nadu,South India,Heritage,10.2847,80.2197,0.12,Oct|Nov|Dec|Jan|Feb,obscure
Pudukkottai,Tamil Nadu,South India,Heritage,12.4954,78.1903,0.31,Oct|Nov|Dec|Jan|Feb,small
Warangal,Telangana,South India,Heritage,19.3115,79.7527,1.16,Oct|Nov|Dec|Jan|Feb,mid
Bhongir,Telangana,South India,Heritage,19.864,79.5743,0.3,Oct|Nov|Dec|Jan|Feb,small
Mahbubnagar,Telangana,South India,Heritage,19.2516,78.2978,0.37,Oct|Nov|Dec|Jan|Feb,small
Karimnagar,Telangana,South India,Heritage,19.6901,77.7034,0.31,Oct|Nov|Dec|Jan|Feb,small
Nizamabad,Telangana,South India,Heritage,16.6953,79.2116,0.33,Oct|Nov|Dec|Jan|Feb,small
Suryapet,Telangana,South India,Heritage,18.4874,79.8034,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Pillalamarri,Telangana,South India,Heritage,18.5933,78.1703,0.11,Oct|Nov|Dec|Jan|Feb,obscure
Adilabad,Telangana,South India,Heritage,19.5692,80.266,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Murshidabad,West Bengal,East India,Heritage,22.7149,87.056,0.95,Oct|Nov|Dec|Jan|Feb,mid
Bishnupur,West Bengal,East India,Heritage,23.966,88.3536,0.33,Oct|Nov|Dec|Jan|Feb,small
Malda,West Bengal,East India,Heritage,23.8584,88.046,0.34,Oct|Nov|Dec|Jan|Feb,small
Cooch Behar,West Bengal,East India,Heritage,21.2248,86.3309,0.39,Oct|Nov|Dec|Jan|Feb,small
Hazarduari,West Bengal,East India,Heritage,24.4441,88.0241,0.12,Oct|Nov|Dec|Jan|Feb,obscure
Adina,West Bengal,East India,Heritage,23.287,86.5931,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Gaur,West Bengal,East India,Heritage,22.2997,89.2963,0.12,Oct|Nov|Dec|Jan|Feb,obscure
Pandua,West Bengal,East India,Heritage,24.2885,89.2961,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Konark,Odisha,East India,Heritage,20.0483,83.6701,3.79,Oct|Nov|Dec|Jan|Feb,major
Khandagiri,Odisha,East India,Heritage,22.3329,84.763,0.36,Oct|Nov|Dec|Jan|Feb,small
Udayagiri,Odisha,East India,Heritage,19.7064,86.6476,0.39,Oct|Nov|Dec|Jan|Feb,small
Lalitgiri,Odisha,East India,Heritage,22.6643,86.2188,0.12,Oct|Nov|Dec|Jan|Feb,obscure
Ratnagiri,Odisha,East India,Heritage,19.2392,85.9516,0.11,Oct|Nov|Dec|Jan|Feb,obscure
Pipili,Odisha,East India,Heritage,22.5009,86.188,0.12,Oct|Nov|Dec|Jan|Feb,obscure
Dhauli,Odisha,East India,Heritage,22.0687,84.2605,0.38,Oct|Nov|Dec|Jan|Feb,small
Nalanda,Bihar,East India,Heritage,24.473,85.9055,1.24,Oct|Nov|Dec|Jan|Feb,mid
Vaishali,Bihar,East India,Heritage,24.6559,85.8165,0.35,Oct|Nov|Dec|Jan|Feb,small
Vikramshila,Bihar,East India,Heritage,24.7883,85.7826,0.32,Oct|Nov|Dec|Jan|Feb,small
Kesariya,Bihar,East India,Heritage,24.3379,84.819,0.11,Oct|Nov|Dec|Jan|Feb,obscure
Lauriya Nandangarh,Bihar,East India,Heritage,25.683,86.057,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Rohtas,Bihar,East India,Heritage,25.3264,85.1495,0.13,Oct|Nov|Dec|Jan|Feb,obscure
Lepakshi,Andhra Pradesh,South India,Heritage,16.0404,81.3213,0.31,Oct|Nov|Dec|Jan|Feb,small
Penukonda,Andhra Pradesh,South India,Heritage,17.6034,78.5828,0.4,Oct|Nov|Dec|Jan|Feb,small
Chandragiri,Andhra Pradesh,South India,Heritage,15.0657,78.3302,0.34,Oct|Nov|Dec|Jan|Feb,small
Gandikota,Andhra Pradesh,South India,Heritage,16.7328,79.0692,0.36,Oct|Nov|Dec|Jan|Feb,small
Belum,Andhra Pradesh,South India,Heritage,15.9511,79.3267,0.36,Oct|Nov|Dec|Jan|Feb,small
Anupu,Andhra Pradesh,South India,Heritage,15.027,80.4916,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Phanigiri,Andhra Pradesh,South India,Heritage,17.4421,79.8784,0.12,Oct|Nov|Dec|Jan|Feb,obscure
Amaravati,Andhra Pradesh,South India,Heritage,16.781,80.3543,1.07,Oct|Nov|Dec|Jan|Feb,mid
Ajanta,Maharashtra,West India,Heritage,18.2019,76.3013,3.32,Oct|Nov|Dec|Jan|Feb,major
Ellora,Maharashtra,West India,Heritage,19.0801,76.9629,3.73,Oct|Nov|Dec|Jan|Feb,major
Daulatabad,Maharashtra,West India,Heritage,19.0312,75.0234,1.09,Oct|Nov|Dec|Jan|Feb,mid
Lonar,Maharashtra,West India,Heritage,19.3986,74.9744,0.31,Oct|Nov|Dec|Jan|Feb,small
Raigad,Maharashtra,West India,Heritage,19.4636,77.2953,0.37,Oct|Nov|Dec|Jan|Feb,small
Pratapgad,Maharashtra,West India,Heritage,21.2001,76.1259,0.33,Oct|Nov|Dec|Jan|Feb,small
Shivneri,Maharashtra,West India,Heritage,19.9226,73.9115,0.33,Oct|Nov|Dec|Jan|Feb,small
Sindhudurg,Maharashtra,West India,Heritage,19.4976,75.9979,0.37,Oct|Nov|Dec|Jan|Feb,small
Janjira,Maharashtra,West India,Heritage,19.624,75.5018,0.32,Oct|Nov|Dec|Jan|Feb,small
Murud,Maharashtra,West India,Heritage,19.6535,77.1543,0.38,Oct|Nov|Dec|Jan|Feb,small
Old Goa,Goa,West India,Heritage,15.1018,73.8709,1.13,Oct|Nov|Dec|Jan|Feb,mid
Reis Magos,Goa,West India,Heritage,15.3798,74.0211,0.38,Oct|Nov|Dec|Jan|Feb,small
Cabo de Rama,Goa,West India,Heritage,15.4507,74.2237,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Tripunithura,Kerala,South India,Heritage,10.3686,75.5091,0.32,Oct|Nov|Dec|Jan|Feb,small
Bekal,Kerala,South India,Heritage,10.8102,76.8296,0.31,Oct|Nov|Dec|Jan|Feb,small
Thalassery,Kerala,South India,Heritage,10.7131,76.4776,0.32,Oct|Nov|Dec|Jan|Feb,small
Anjarakkandy,Kerala,South India,Heritage,11.1642,76.261,0.1,Oct|Nov|Dec|Jan|Feb,obscure
Krishnapuram,Kerala,South India,Heritage,11.0997,75.4789,0.12,Oct|Nov|Dec|Jan|Feb,obscure
Patiala,Punjab,North India,Heritage,31.5821,74.7105,1.09,Oct|Nov|Dec|Jan|Feb,mid
Kapurthala,Punjab,North India,Heritage,30.6314,76.0727,0.35,Oct|Nov|Dec|Jan|Feb,small
Sangrur,Punjab,North India,Heritage,30.4303,74.9387,0.39,Oct|Nov|Dec|Jan|Feb,small
Faridkot,Punjab,North India,Heritage,31.0803,75.8223,0.37,Oct|Nov|Dec|Jan|Feb,small
Pinjore,Haryana,North India,Heritage,29.8406,76.2427,0.4,Oct|Nov|Dec|Jan|Feb,small
Pataudi,Haryana,North India,Heritage,29.6863,76.2702,0.37,Oct|Nov|Dec|Jan|Feb,small
Madhuban,Haryana,North India,Heritage,29.0676,76.6189,0.11,Oct|Nov|Dec|Jan|Feb,obscure
Mathura,Uttar Pradesh,North India,Pilgrimage,28.2799,81.8272,4.96,Oct|Nov|Mar|Apr,major
Ayodhya,Uttar Pradesh,North India,Pilgrimage,25.9831,80.0401,16.66,Oct|Nov|Mar|Apr,mega
Chitrakoot,Uttar Pradesh,North India,Pilgrimage,27.8069,81.0267,1.66,Oct|Nov|Mar|Apr,mid
Naimisharanya,Uttar Pradesh,North India,Pilgrimage,26.0386,79.4289,0.47,Oct|Nov|Mar|Apr,small
Garhmukteshwar,Uttar Pradesh,North India,Pilgrimage,26.0282,80.301,0.51,Oct|Nov|Mar|Apr,small
Govardhan,Uttar Pradesh,North India,Pilgrimage,25.5481,79.9825,1.69,Oct|Nov|Mar|Apr,mid
Prayagraj,Uttar Pradesh,North India,Pilgrimage,27.5931,79.3812,15.56,Oct|Nov|Mar|Apr,mega
Sambhal,Uttar Pradesh,North India,Pilgrimage,27.0034,80.6468,0.46,Oct|Nov|Mar|Apr,small
Mirzapur,Uttar Pradesh,North India,Pilgrimage,26.5625,82.4074,0.51,Oct|Nov|Mar|Apr,small
Soron,Uttar Pradesh,North India,Pilgrimage,27.5539,82.2342,0.17,Oct|Nov|Mar|Apr,obscure
Vindhyachal,Uttar Pradesh,North India,Pilgrimage,26.4194,79.1712,0.48,Oct|Nov|Mar|Apr,small
Misrikh,Uttar Pradesh,North India,Pilgrimage,27.7625,82.2224,0.18,Oct|Nov|Mar|Apr,obscure
Barsana,Uttar Pradesh,North India,Pilgrimage,26.5585,81.8411,0.51,Oct|Nov|Mar|Apr,small
Nandgaon,Uttar Pradesh,North India,Pilgrimage,27.2217,79.9439,0.46,Oct|Nov|Mar|Apr,small
Gokul,Uttar Pradesh,North India,Pilgrimage,26.619,79.2545,0.48,Oct|Nov|Mar|Apr,small
Bateshwar,Uttar Pradesh,North India,Pilgrimage,27.4949,80.6055,0.14,Oct|Nov|Mar|Apr,obscure
Phulpur,Uttar Pradesh,North India,Pilgrimage,26.7326,79.6095,0.17,Oct|Nov|Mar|Apr,obscure
Kushinagar,Uttar Pradesh,North India,Pilgrimage,25.1471,80.5685,1.63,Oct|Nov|Mar|Apr,mid
Devipatan,Uttar Pradesh,North India,Pilgrimage,25.1476,81.4639,0.14,Oct|Nov|Mar|Apr,obscure
Shringverpur,Uttar Pradesh,North India,Pilgrimage,26.7121,79.331,0.15,Oct|Nov|Mar|Apr,obscure
Devban,Uttar Pradesh,North India,Pilgrimage,25.812,80.3266,0.17,Oct|Nov|Mar|Apr,obscure
Ballia,Uttar Pradesh,North India,Pilgrimage,26.4149,81.8572,0.55,Oct|Nov|Mar|Apr,small
Faizabad,Uttar Pradesh,North India,Pilgrimage,25.9582,79.4449,0.43,Oct|Nov|Mar|Apr,small
Triveni,Uttar Pradesh,North India,Pilgrimage,26.9919,82.7497,0.15,Oct|Nov|Mar|Apr,obscure
Sringeri,Karnataka,South India,Pilgrimage,15.8605,76.7224,1.67,Oct|Nov|Mar|Apr,mid
Udupi,Karnataka,South India,Pilgrimage,16.2352,77.3286,1.46,Oct|Nov|Mar|Apr,mid
Sirsi,Karnataka,South India,Pilgrimage,13.5934,74.4586,0.44,Oct|Nov|Mar|Apr,small
Murudeshwar,Karnataka,South India,Pilgrimage,15.9301,75.9403,1.46,Oct|Nov|Mar|Apr,mid
Dharmasthala,Karnataka,South India,Pilgrimage,16.0381,76.6708,1.44,Oct|Nov|Mar|Apr,mid
Subramanya,Karnataka,South India,Pilgrimage,15.7061,76.6025,0.44,Oct|Nov|Mar|Apr,small
Hornadu,Karnataka,South India,Pilgrimage,16.4695,77.383,0.44,Oct|Nov|Mar|Apr,small
Kateel,Karnataka,South India,Pilgrimage,13.6124,75.033,0.53,Oct|Nov|Mar|Apr,small
Kollur,Karnataka,South India,Pilgrimage,16.9694,75.338,0.53,Oct|Nov|Mar|Apr,small
Saundatti,Karnataka,South India,Pilgrimage,13.7936,76.3962,0.52,Oct|Nov|Mar|Apr,small
Nanjangud,Karnataka,South India,Pilgrimage,13.8868,76.6909,0.55,Oct|Nov|Mar|Apr,small
Melukote,Karnataka,South India,Pilgrimage,15.6815,74.3458,0.57,Oct|Nov|Mar|Apr,small
Kukke Subramanya,Karnataka,South India,Pilgrimage,16.3375,75.1599,0.49,Oct|Nov|Mar|Apr,small
Talakad,Karnataka,South India,Pilgrimage,14.8541,75.7315,0.48,Oct|Nov|Mar|Apr,small
Tirumakudal Narasipura,Karnataka,South India,Pilgrimage,16.5785,76.8704,0.14,Oct|Nov|Mar|Apr,obscure
Mahakuta,Karnataka,South India,Pilgrimage,16.9788,76.1981,0.18,Oct|Nov|Mar|Apr,obscure
Banashankari,Karnataka,South India,Pilgrimage,16.0663,75.4778,0.54,Oct|Nov|Mar|Apr,small
Bhadravati,Karnataka,South India,Pilgrimage,16.9957,74.8823,0.55,Oct|Nov|Mar|Apr,small
Mookambika,Karnataka,South India,Pilgrimage,15.4574,75.6506,0.16,Oct|Nov|Mar|Apr,obscure
Madurai,Tamil Nadu,South India,Pilgrimage,11.9617,77.8262,17.69,Oct|Nov|Mar|Apr,mega
Rameshwaram,Tamil Nadu,South India,Pilgrimage,12.3206,77.172,5.57,Oct|Nov|Mar|Apr,major
Tiruvannamalai,Tamil Nadu,South India,Pilgrimage,10.2079,78.533,5.17,Oct|Nov|Mar|Apr,major
Palani,Tamil Nadu,South India,Pilgrimage,10.6944,76.9633,1.77,Oct|Nov|Mar|Apr,mid
Srirangam,Tamil Nadu,South India,Pilgrimage,9.9846,77.6236,1.74,Oct|Nov|Mar|Apr,mid
Tiruchendur,Tamil Nadu,South India,Pilgrimage,10.5552,80.0292,0.53,Oct|Nov|Mar|Apr,small
Chidambaram,Tamil Nadu,South India,Pilgrimage,10.3246,76.8965,0.57,Oct|Nov|Mar|Apr,small
Tiruvarur,Tamil Nadu,South India,Pilgrimage,9.6382,79.4523,0.5,Oct|Nov|Mar|Apr,small
Velankanni,Tamil Nadu,South India,Pilgrimage,12.0594,79.3462,1.67,Oct|Nov|Mar|Apr,mid
Tirukkalukundram,Tamil Nadu,South India,Pilgrimage,11.097,79.7146,0.44,Oct|Nov|Mar|Apr,small
Tirukkadaiyur,Tamil Nadu,South India,Pilgrimage,10.1277,79.3504,0.15,Oct|Nov|Mar|Apr,obscure
Sirkali,Tamil Nadu,South India,Pilgrimage,11.4236,78.5637,0.5,Oct|Nov|Mar|Apr,small
Mailam,Tamil Nadu,South India,Pilgrimage,10.8618,79.5454,0.15,Oct|Nov|Mar|Apr,obscure
Samayapuram,Tamil Nadu,South India,Pilgrimage,11.8603,77.8353,0.15,Oct|Nov|Mar|Apr,obscure
Marudhamalai,Tamil Nadu,South India,Pilgrimage,9.7644,77.5533,0.14,Oct|Nov|Mar|Apr,obscure
Sankarankoil,Tamil Nadu,South India,Pilgrimage,11.2591,79.6039,0.45,Oct|Nov|Mar|Apr,small
Tirukoshtiyur,Tamil Nadu,South India,Pilgrimage,10.109,78.6031,0.17,Oct|Nov|Mar|Apr,obscure
Tirukurungudi,Tamil Nadu,South India,Pilgrimage,12.8458,78.7487,0.15,Oct|Nov|Mar|Apr,obscure
Tiruparankundram,Tamil Nadu,South India,Pilgrimage,9.6919,77.5588,0.46,Oct|Nov|Mar|Apr,small
Thiruvotriyur,Tamil Nadu,South India,Pilgrimage,9.976,76.9109,0.16,Oct|Nov|Mar|Apr,obscure
Tirupati,Andhra Pradesh,South India,Pilgrimage,15.0975,81.4475,16.26,Oct|Nov|Mar|Apr,mega
Srisailam,Andhra Pradesh,South India,Pilgrimage,16.6207,78.3946,5.55,Oct|Nov|Mar|Apr,major
Annavaram,Andhra Pradesh,South India,Pilgrimage,15.8772,81.0818,0.51,Oct|Nov|Mar|Apr,small
Pithapuram,Andhra Pradesh,South India,Pilgrimage,15.7998,79.5257,0.45,Oct|Nov|Mar|Apr,small
Simhachalam,Andhra Pradesh,South India,Pilgrimage,14.295,81.3278,0.5,Oct|Nov|Mar|Apr,small
Ahobilam,Andhra Pradesh,South India,Pilgrimage,17.0696,79.3825,0.44,Oct|Nov|Mar|Apr,small
Mahanandi,Andhra Pradesh,South India,Pilgrimage,16.376,78.133,0.45,Oct|Nov|Mar|Apr,small
Antarvedi,Andhra Pradesh,South India,Pilgrimage,16.1362,79.0338,0.18,Oct|Nov|Mar|Apr,obscure
Kanipakam,Andhra Pradesh,South India,Pilgrimage,14.5364,80.692,0.52,Oct|Nov|Mar|Apr,small
Mangalagiri,Andhra Pradesh,South India,Pilgrimage,16.9567,78.7525,0.5,Oct|Nov|Mar|Apr,small
Kalahasti,Andhra Pradesh,South India,Pilgrimage,15.7319,79.5338,1.77,Oct|Nov|Mar|Apr,mid
Penuganchiprolu,Andhra Pradesh,South India,Pilgrimage,17.6741,79.0394,0.17,Oct|Nov|Mar|Apr,obscure
Yaganti,Andhra Pradesh,South India,Pilgrimage,16.3047,80.6043,0.18,Oct|Nov|Mar|Apr,obscure
Kasapuram,Andhra Pradesh,South India,Pilgrimage,14.858,78.6997,0.17,Oct|Nov|Mar|Apr,obscure
Bhattiprolu,Andhra Pradesh,South India,Pilgrimage,14.6754,78.5657,0.14,Oct|Nov|Mar|Apr,obscure
Vontimitta,Andhra Pradesh,South India,Pilgrimage,14.1196,79.5618,0.16,Oct|Nov|Mar|Apr,obscure
Kotappakonda,Andhra Pradesh,South India,Pilgrimage,15.1585,78.7733,0.17,Oct|Nov|Mar|Apr,obscure
Bhimavaram,Andhra Pradesh,South India,Pilgrimage,16.6408,79.5745,0.53,Oct|Nov|Mar|Apr,small
Kuchipudi,Andhra Pradesh,South India,Pilgrimage,17.4361,80.7762,0.17,Oct|Nov|Mar|Apr,obscure
Bhadrachalam,Telangana,South India,Pilgrimage,18.6903,80.5812,1.56,Oct|Nov|Mar|Apr,mid
Vemulawada,Telangana,South India,Pilgrimage,18.2704,79.5515,0.56,Oct|Nov|Mar|Apr,small
Basara,Telangana,South India,Pilgrimage,19.2859,77.4771,0.45,Oct|Nov|Mar|Apr,small
Komuravelli,Telangana,South India,Pilgrimage,17.4174,79.9162,0.51,Oct|Nov|Mar|Apr,small
Yadagirigutta,Telangana,South India,Pilgrimage,17.349,77.6677,1.69,Oct|Nov|Mar|Apr,mid
Medak,Telangana,South India,Pilgrimage,18.829,80.6136,0.5,Oct|Nov|Mar|Apr,small
